2023-02-28 10:35:54.275 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\batchframework\SubFileJobExecuter.class 成功
2023-02-28 10:35:54.275 [com.xw.service.OperationServiceImpl:278] INFO   删除文件夹 D:\workspace\admin\CE\CEEJB\com\cs\batchframework 成功
2023-02-28 10:35:54.275 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\base\SecuBase.class 成功
2023-02-28 10:35:54.276 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\base\SecuLogBase.class 成功
2023-02-28 10:35:54.276 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\base\TrxCompBase.class 成功
2023-02-28 10:35:54.276 [com.xw.service.OperationServiceImpl:278] INFO   删除文件夹 D:\workspace\admin\CE\CEEJB\com\cs\ceap\base 成功
2023-02-28 10:35:54.276 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cebatchupload\CEBatchUpload$POType.class 成功
2023-02-28 10:35:54.276 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cebatchupload\CEBatchUpload.class 成功
2023-02-28 10:35:54.276 [com.xw.service.OperationServiceImpl:278] INFO   删除文件夹 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cebatchupload 成功
2023-02-28 10:35:54.276 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cemail\CEMail.class 成功
2023-02-28 10:35:54.276 [com.xw.service.OperationServiceImpl:278] INFO   删除文件夹 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cemail 成功
2023-02-28 10:35:54.277 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\BIRTEngine.class 成功
2023-02-28 10:35:54.277 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\BirtImpl.class 成功
2023-02-28 10:35:54.277 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\CEReport.class 成功
2023-02-28 10:35:54.277 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\CrystalReportEngine.class 成功
2023-02-28 10:35:54.277 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\GenerateReport.class 成功
2023-02-28 10:35:54.277 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\ReportFactory.class 成功
2023-02-28 10:35:54.277 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\TrxCEReport$GenerateFormReportData.class 成功
2023-02-28 10:35:54.278 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\TrxCEReport$GenerateReportData.class 成功
2023-02-28 10:35:54.278 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\TrxCEReport.class 成功
2023-02-28 10:35:54.278 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\util\CEGenerateReport.class 成功
2023-02-28 10:35:54.278 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\util\CrystalReportGenTool.class 成功
2023-02-28 10:35:54.278 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\util\InitialReportTemplate.class 成功
2023-02-28 10:35:54.278 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\util\KeyField.class 成功
2023-02-28 10:35:54.279 [com.xw.service.OperationServiceImpl:296] INFO   删除文件 D:\workspace\admin\CE\CEEJB\com\cs\ceap\cereport\util\ReportCalendar.class 成功
