1667526949029|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )
1667527096324|2|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )
1667527172186|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )
1667527197893|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )
1667527264626|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )
1667527343262|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ?;|select * from db where record = 'admin';
1667527346242|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ?;|select * from db where record = 'admin';
1667527371737|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )
1667527373409|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ?;|select * from db where record = 'admin';
1667527377237|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ?;|select * from db where record = 'admin';
1667527378078|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ?;|select * from db where record = 'admin';
1667527378636|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ?;|select * from db where record = 'admin';
1667527430500|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )
1667527591949|1|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )|CREATE TABLE 'db' ( 'record' VARCHAR(50) NOT NULL, 'jarName' VARCHAR(50) NOT NULL, 'status' VARCHAR(50) NOT NULL, 'date' TEXT NOT NULL DEFAULT (datetime('now','localtime')) )
1667527592908|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ? and jarName = ?;|select * from db where record = 'admin' and jarName = 'CEEJB.jar';
1667527606577|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ? and jarName = ?;|select * from db where record = 'admin' and jarName = 'CEEJB.jar';
1667527607099|2|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|insert into db (record,jarName,status) values(?,?,?)|insert into db (record,jarName,status) values('admin','CEEJB.jar','1')
1667527617297|2|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|update db set status = ? where record = ? and jarName = ?;|update db set status = '2' where record = 'admin' and jarName = 'CEEJB.jar';
1667527617297|0|statement|connection 0|url jdbc:p6spy:sqlite:D:/workspace/update/src/main/resources/db/db.sqlite|select * from db where record = ? and jarName = ?;|select * from db where record = 'admin' and jarName = 'CEEJB.jar';
